OBJECTID;CODIGO;nombre;CATEGORIA;TECNOLOGIA;ESTADO;FECHA_INSTALACION;altitud;latitud;longitud;DEPARTAMENTO;MUNICIPIO;AREA_OPERATIVA;AREA_HIDROGRAFICA;ZONA_HIDROGRAFICA;observacion;CORRIENTE;FECHA_SUSPENSION;SUBZONA_HIDROGRAFICA;ENTIDAD;subred
658;23080400;SAN CARLOS [23080400];Pluviométrica;Convencional;Suspendida;1963-08-15;160;6.2;-74.98333333;Antioquia;San Carlos (Antioquia);Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Medio Magdalena;;Negro;1965-04-15;Río Nare;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
659;35060240;GAMA [35060240];Pluviométrica;Convencional;Activa;1972-08-15;2210;4.76427778;-73.60991667;Cundinamarca;Gama;Area Operativa 11 - Cundinamarca-Amazonas;Orinoco;Meta;;San Juan;;Río Guavio;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
660;26210140;ALTAMIRA [26210140];Pluviométrica;Convencional;Activa;1975-04-15;1816;6.2188;-75.9449;Antioquia;Betulia (Antioquia);Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Cauca;;0;;Directos Río Cauca entre Río San Juan y Pto Valdia;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Zona cafetera,
661;23085110;PENOL EL [23085110];Climática Ordinaria;Convencional;Activa;1973-06-15;2022;6.2138889;-75.24138889;Antioquia;Peñol;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Medio Magdalena;;0;;Río Nare;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;RED ALERTAS - AREA OPERATIVA 01,
662;23125130;LANDAZURI [23125130];Pluviométrica;Convencional;Activa;1975-04-15;935;6.22138889;-73.80888889;Santander;Landázuri;Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Medio Magdalena;Código orfeo 20187080001413|12/09/2022$Migracion$Código orfeo 20187080001413|12/09/2022$Migracion$Cambio de Categoría a PM. Por solicitud Coordinador AO.;0;;Río Carare (Minero);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;RED DE ISOTOPIA AREA OPERATIVA 08,
663;24035250;CHITA  - AUT [24035250];Climática Ordinaria;TEST005;En Mantenimiento;1970-12-15;2961;6.18778;-72.46556;Boyacá;Chita;Area Operativa 06 - Boyacá-Casanare-Vichada;Magdalena Cauca;Sogamoso;Actualizada Tecnologia y Tipo de Transmision por solicitud del coordinador del AO. (07/02/2023);0;;Río Chicamocha;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Altiplano Cundiboyacense y oriente de Santander,RED ALERTAS - AREA OPERATIVA 06,RED DE ISOTOPIA AREA OPERATIVA 06,
664;26217040;CANGREJO EL [26217040];Limnigráfica;Convencional;Suspendida;1978-05-15;558;6.20972222;-75.86069444;Antioquia;Betulia (Antioquia);Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Cauca;;San Mateo;2010-10-20;Directos Río Cauca entre Río San Juan y Pto Valdia;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
665;11057010;TAGACHI [11057010];Limnimétrica;Convencional;Suspendida;1966-04-15;18;6.21666667;-76.71666667;Chocó;Quibdó;Area Operativa 01 - Antioquia-Chocó;Caribe;Atrato - Darién;;Atrato;2002-02-15;Directos Atrato entre ríos Bebaramá y Murrí (md);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
666;23120090;LANDAZURI [23120090];Pluviométrica;Convencional;Suspendida;1959-10-15;185;6.21666667;-73.81666667;Santander;Vélez;Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Medio Magdalena;;Atrato;1975-03-15;Río Carare (Minero);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
667;2319700105;ANGOSTURAS - AUT [2319700105];Limnigráfica;Automática con Telemetría;Suspendida;2017-12-27;166;7.34;-73.33;Santander;Rionegro (Santander);Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Medio Magdalena;Informatica informa que se migraron y verificaron en DHIME los datos automáticos de la estación ANGOSTURAS AUT (2319700105) a la estación ANGOSTURAS 23197400, como solicito el usuario.El CNE ya puede proceder a suspender la estación ANGOSTURAS AUT (2319700105).;1179;2021-10-04 12:13;Río Lebrija y otros directos al Magdalena;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
668;11050010;TAGACHI [11050010];Pluviométrica;Convencional;Activa;1966-01-15;20;6.22177778;-76.72702778;Chocó;Quibdó;Area Operativa 01 - Antioquia-Chocó;Caribe;Atrato - Darién;;Magdalena;;Directos Atrato entre ríos Bebaramá y Murrí (md);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
669;24030240;SUSACON [24030240];Pluviométrica;Convencional;Activa;1958-02-15;2550;6.23175;-72.68933333;Boyacá;Susacón;Area Operativa 06 - Boyacá-Casanare-Vichada;Magdalena Cauca;Sogamoso;;Pienta;;Río Chicamocha;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Altiplano Cundiboyacense y oriente de Santander,RED ALERTAS - AREA OPERATIVA 06,
670;24030850;ASERRIO EL [24030850];Pluviométrica;Convencional;Activa;1980-08-15;2500;6.23258333;-72.78119444;Santander;Onzaga;Area Operativa 06 - Boyacá-Casanare-Vichada;Magdalena Cauca;Sogamoso;;Pienta;;Río Chicamocha;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
671;36020030;SANTA INES [36020030];Pluviométrica;Convencional;Activa;1984-02-15;860;6.23488889;-71.9755;Arauca;Tame;Area Operativa 06 - Boyacá-Casanare-Vichada;Orinoco;Casanare;;Casanare;;Río Casanare;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
672;24015250;LAJA LA [24015250];Climática Ordinaria;Convencional;Activa;1973-11-15;1400;6.23716667;-73.41538889;Santander;Guadalupe (Santander);Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Sogamoso;;Casanare;;Río Suárez;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Altiplano Cundiboyacense y oriente de Santander,RED ALERTAS - AREA OPERATIVA 08,
673;24035010;CUSAGUI [24035010];Climática Ordinaria;Convencional;Activa;1986-05-15;2950;6.24811111;-72.54888889;Boyacá;La Uvita;Area Operativa 06 - Boyacá-Casanare-Vichada;Magdalena Cauca;Sogamoso;;Casanare;;Río Chicamocha;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
674;24020230;PUEBLO VIEJO [24020230];Pluviométrica;Convencional;Activa;1983-04-15;2107;6.24877778;-72.94672222;Santander;Coromoro;Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Sogamoso;;Casanare;;Río Fonce;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
675;23087480;CANAL DE FUGA [23087480];Limnigráfica;Convencional;Suspendida;1987-03-15;1180;6.23333333;-74.88333333;Antioquia;San Carlos (Antioquia);Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Medio Magdalena;;Calderas;1990-11-15;Río Nare;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
676;23080810;JORDAN EL [23080810];Pluviográfica;Convencional;Activa;1982-11-15;820;6.1579;-75.0388;Antioquia;San Carlos (Antioquia);Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Medio Magdalena;;0;;Río Nare;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
677;36027040;SAN SALVADOR [36027040];Limnimétrica;Convencional;Suspendida;1984-02-15;172;6.23333333;-71.61666667;Casanare;Hato Corozal;Area Operativa 06 - Boyacá-Casanare-Vichada;Orinoco;Casanare;;Casanare;2002-02-15;Río Casanare;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
678;23097050;PUERTO SUIZA [23097050];Limnimétrica;Convencional;Suspendida;1977-04-15;121;6.25;-74.56666667;Antioquia;Puerto Nare;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Medio Magdalena;;Magdalena;1986-11-15;Rió San Bartolo y otros directos al Magdalena Medio;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
679;27011110;ASTILLEROS [27011110];Pluviométrica;Convencional;Activa;1990-10-15;2450;6.25730556;-75.67586111;Antioquia;Medellín;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Nechí;;San Lope;;Río Porce;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
680;24010240;OIBA [24010240];Pluviométrica;Convencional;Activa;1958-11-15;1400;6.2625;-73.30333333;Santander;Oiba;Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Sogamoso;;San Lope;;Río Suárez;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Altiplano Cundiboyacense y oriente de Santander,RED ALERTAS - AREA OPERATIVA 08,RED DE ISOTOPIA AREA OPERATIVA 08,
681;24025050;CHARALA [24025050];Climática Ordinaria;Convencional;Activa;1973-11-15;1350;6.27416667;-73.15055556;Santander;Charalá;Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Sogamoso;;San Lope;;Río Fonce;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Altiplano Cundiboyacense y oriente de Santander,RED ALERTAS - AREA OPERATIVA 08,
682;23080720;CANTERAS [23080720];Pluviométrica;Convencional;Activa;1979-03-15;1723;6.27616667;-74.67433333;Antioquia;Puerto Nare;Area Operativa 10 - Tolima;Magdalena Cauca;Medio Magdalena;;San Lope;;Río Nare;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
683;36027050;CRAVO NORTE [36027050];Limnimétrica;Convencional;Activa;1988-05-15;91;6.29563889;-70.19433333;Arauca;Cravo Norte;Area Operativa 03 - Meta-Guaviare-Guainía;Orinoco;Casanare;;Casanare;;Río Casanare;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;RED ALERTAS - AREA OPERATIVA 03,
684;24020120;COROMORO [24020120];Pluviométrica;Convencional;Activa;1973-11-15;1520;6.29944444;-73.04472222;Santander;Coromoro;Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Sogamoso;;Penderisco;;Río Fonce;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Altiplano Cundiboyacense y oriente de Santander,RED ALERTAS - AREA OPERATIVA 08,
685;24017520;OIBA-PUENTE VARGAS [24017520];Limnimétrica;Convencional;Suspendida;1957-11-15;1400;6.25;-73.33333333;Santander;Oiba;Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Sogamoso;;Oibita;1975-07-15;Río Suárez;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
686;36027030;SANTA INES [36027030];Limnimétrica;Convencional;Suspendida;1984-02-15;694;6.25;-72;Arauca;Tame;Area Operativa 06 - Boyacá-Casanare-Vichada;Orinoco;Casanare;;San Lope;2002-02-15;Río Casanare;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
687;27015270;JARDIN BOTANICO [27015270];Climática Ordinaria;Convencional;Suspendida;2002-05-15;1435;6.26691667;-75.56316667;Antioquia;Medellín;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Nechí;;San Lope;2009-08-18;Río Porce;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
688;24020210;CHARALA [24020210];Pluviográfica;Convencional;Suspendida;1968-02-15;1350;6.27416667;-73.15055556;Santander;Charalá;Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Sogamoso;;San Lope;1971-09-15;Río Fonce;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
689;24020030;CHARALA [24020030];Pluviométrica;Convencional;Suspendida;1954-09-15;1350;6.27416667;-73.15055556;Santander;Charalá;Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Sogamoso;;San Lope;1973-11-15;Río Fonce;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
690;27015210;VIVERO EL [27015210];Climática Principal;Convencional;Suspendida;1982-07-15;2400;6.28333333;-75.5;Antioquia;Guarne;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Nechí;;San Lope;1996-06-15;Río Porce;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
691;24027050;PUENTE LLANO [24027050];Limnimétrica;Convencional;Activa;1971-08-14 19:00;1280;6.285;-73.12611111;Santander;Charalá;Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Sogamoso;Con orfeo 20197080001663 enviado por la coordinadora del área operativa se pide entre otras, la corrección de categoría, estados y tecnología de algunas estaciones del área operativa;Taquiza;;Río Fonce;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
692;23125120;CIMITARRA [23125120];Climática Ordinaria;Convencional;Activa;1975-04-15;198;6.30861111;-73.95222222;Santander;Cimitarra;Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Medio Magdalena;;Penderisco;;Río Carare (Minero);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Magdalena Medio,RED ALERTAS - AREA OPERATIVA 08,
693;23085160;CORRIENTES [23085160];Climática Ordinaria;Convencional;Activa;1975-05-15;1965;6.31194444;-75.25355556;Antioquia;San Vicente;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Medio Magdalena;;Penderisco;;Río Nare;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
694;27011120;IGUANA LA [27011120];Pluviográfica;Convencional;Activa;1990-10-15;2300;6.31627778;-75.65752778;Antioquia;Medellín;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Nechí;;Penderisco;;Río Porce;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;RED ALERTAS - AREA OPERATIVA 01,
695;27015090;TULIO OSPINA [27015090];Climática Ordinaria;Convencional;Activa;1950-09-15;1453;6.31969444;-75.55325;Antioquia;Bello;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Nechí;;Penderisco;;Río Porce;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;RED ALERTAS - AREA OPERATIVA 01,
696;11075020;URRAO [11075020];Climática Ordinaria;Convencional;Activa;1973-06-15;1833;6.29830556;-76.14330556;Antioquia;Urrao;Area Operativa 01 - Antioquia-Chocó;Caribe;Atrato - Darién;Orfeo 20177010004033;0;;Río Murrí;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;RED ALERTAS - AREA OPERATIVA 01,
697;24035330;BOAVITA [24035330];Agrometeorológica;Convencional;Activa;1978-08-15;2150;6.32897222;-72.58227778;Boyacá;Boavita;Area Operativa 06 - Boyacá-Casanare-Vichada;Magdalena Cauca;Sogamoso;;Penderisco;;Río Chicamocha;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Altiplano Cundiboyacense,
698;26205080;ALDEA LA [26205080];Meteorológica Especial;Convencional;Activa;1990-09-15;1737;6.34105556;-75.70094444;Antioquia;Medellín;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Cauca;;Penderisco;;Directos Río Cauca  entre Río San Juan y  Pto Valdivia;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;RED ALERTAS - AREA OPERATIVA 01,
699;23080730;TEJAR EL [23080730];Pluviográfica;Convencional;Suspendida;1973-05-15;120;6.3;-75.03333333;Antioquia;San Rafael;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Medio Magdalena;;Penderisco;1994-05-15;Río Nare;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
700;23120180;CIMITARRA [23120180];Pluviométrica;Convencional;Suspendida;1971-09-15;200;6.31666667;-73.95;Santander;Cimitarra;Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Medio Magdalena;;Penderisco;1975-07-15;Río Carare (Minero);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
701;11070040;URRAO [11070040];Pluviométrica;Convencional;Suspendida;1969-01-15;1875;6.33333333;-76.16666667;Antioquia;Urrao;Area Operativa 01 - Antioquia-Chocó;Caribe;Atrato - Darién;;Penderisco;1973-07-15;Río Murrí;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
702;26210090;ANZA [26210090];Pluviométrica;Convencional;Activa;1970-10-15;743;6.30313889;-75.85925;Antioquia;Anzá;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Cauca;;0;;Directos Río Cauca entre Río San Juan y Pto Valdia;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;RED ALERTAS - AREA OPERATIVA 01,
703;11070020;ROBLE EL [11070020];Pluviométrica;Convencional;Activa;1977-03-15;1496;6.33205167;-76.229145;Antioquia;Urrao;Area Operativa 01 - Antioquia-Chocó;Caribe;Atrato - Darién;;0;;Río Murrí;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
704;24015300;VILLA DE LEIVA  - AUT [24015300];Climática Principal;TEST005;En Mantenimiento;1979-12-15;2174;5.64326;-73.51774;Boyacá;Villa De Leiva;Area Operativa 06 - Boyacá-Casanare-Vichada;Magdalena Cauca;Sogamoso;Actualizada Tecnologia y Tipo de Transmision por solicitud del Coordinador del AO. (07/02/2023);0;;Río Suárez;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Altiplano Cundiboyacense y oriente de Santander,Radiación Ultravioleta,Radiación Visible,
705;24030280;BOAVITA [24030280];Pluviométrica;Convencional;Suspendida;1958-07-15;20;6.33333333;-72.6;Boyacá;Boavita;Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Sogamoso;;Penderisco;1978-07-15;Río Chicamocha;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
706;23085210;VIOLETAS LAS [23085210];Climática Principal;Convencional;Suspendida;1982-11-15;116;6.34888889;-75.00277778;Antioquia;San Rafael;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Medio Magdalena;;Penderisco;2011-09-30;Río Nare;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
707;24015260;CHIMA [24015260];Climática Ordinaria;Convencional;Activa;1973-12-15;190;6.355;-73.36833333;Santander;Chima (Santander);Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Sogamoso;;Cauca;;Río Suárez;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Altiplano Cundiboyacense y oriente de Santander,RED ALERTAS - AREA OPERATIVA 08,
708;24010230;CONFINES [24010230];Pluviométrica;Convencional;Activa;1958-08-15;1523;6.35527778;-73.23972222;Santander;Confines;Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Sogamoso;;Cauca;;Río Suárez;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Altiplano Cundiboyacense y oriente de Santander,RED ALERTAS - AREA OPERATIVA 08,
709;27010820;CUCHILLA LA [27010820];Pluviométrica;Convencional;Activa;1970-08-15;1600;6.36833333;-75.45361111;Antioquia;Girardota;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Nechí;;Cauca;;Río Porce;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;RED ALERTAS - AREA OPERATIVA 01,
710;24030660;MORTINO EL [24030660];Pluviométrica;Convencional;Activa;1974-06-15;3409;6.37511111;-72.419;Boyacá;El Cocuy;Area Operativa 06 - Boyacá-Casanare-Vichada;Magdalena Cauca;Sogamoso;;Cauca;;Río Chicamocha;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
711;23085030;ALEJANDRIA [23085030];Climática Ordinaria;Convencional;Activa;1988-09-15;1712;6.37625;-75.14338889;Antioquia;Alejandría;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Medio Magdalena;;Quebrada La Concepcion;;Río Nare;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;RED ALERTAS - AREA OPERATIVA 01,
712;26217060;AGARA [26217060];Limnimétrica;Convencional;Suspendida;1979-11-15;475;6.35;-75.83333333;Antioquia;Anzá;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Cauca;;Cauca;2002-04-15;Directos Río Cauca  entre Río San Juan y  Pto Valdivia;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
713;27010780;BOQUERON [27010780];Pluviométrica;Convencional;Suspendida;1970-08-15;2510;6.35;-75.68333333;Antioquia;Medellín;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Cauca;;Cauca;1990-11-15;Directos Río Cauca  entre Río San Juan y  Pto Valdivia;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
714;24020160;CARMEN EL HACIENDA [24020160];Pluviométrica;Convencional;Suspendida;1979-10-15;1400;6.35;-73.11666667;Santander;Ocamonte;Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Sogamoso;;Cauca;1983-06-15;Río Fonce;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
715;24010220;CHIMA [24010220];Pluviométrica;Convencional;Suspendida;1958-08-15;190;6.355;-73.36833333;Santander;Chima (Santander);Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Sogamoso;;Cauca;1973-11-15;Río Suárez;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
716;11075010;HONDA LA [11075010];Climática Ordinaria;Convencional;Suspendida;1990-07-15;1850;6.35638889;-76.15805556;Antioquia;Urrao;Area Operativa 01 - Antioquia-Chocó;Caribe;Atrato - Darién;;Cauca;2011-05-10;Río Murrí;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
717;26205040;IGUINA HACIENDA [26205040];Climática Ordinaria;Convencional;Suspendida;1978-10-15;480;6.36666667;-75.86666667;Antioquia;Anzá;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Cauca;;Cauca;1980-10-15;Directos Río Cauca entre Río San Juan y Pto Valdia;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
718;24010740;RODEO EL HACIENDA [24010740];Pluviométrica;Convencional;Suspendida;1979-10-15;1200;6.36666667;-73.36666667;Santander;Chima (Santander);Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Sogamoso;;Cauca;2002-03-15;Río Suárez;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
719;23080680;ALEJANDRIA [23080680];Pluviométrica;Convencional;Suspendida;1973-06-15;1700;6.38333333;-75.15;Antioquia;Alejandría;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Medio Magdalena;;Quebrada La Concepcion;1988-09-15;Río Nare;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
720;23080630;TOPACIO EL [23080630];Pluviográfica;Convencional;Suspendida;1973-05-15;1340;6.38333333;-74.98333333;Antioquia;San Rafael;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Medio Magdalena;;Quebrada La Concepcion;1991-11-15;Río Nare;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
721;24037370;MOMPA IZQUIERDO [24037370];Limnigráfica;Convencional;Activa;1974-05-15;1800;6.39741667;-72.81719444;Santander;Onzaga;Area Operativa 06 - Boyacá-Casanare-Vichada;Magdalena Cauca;Sogamoso;;Onzaga;;Río Chicamocha;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
722;27010800;MESETA LA SN PEDRO [27010800];Pluviométrica;Convencional;Activa;1970-08-15;2600;6.39972222;-75.60722222;Antioquia;Bello;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Nechí;;Onzaga;;Río Porce;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;RED ALERTAS - AREA OPERATIVA 01,
723;24030260;COCUY EL [24030260];Pluviométrica;Convencional;Activa;1958-03-15;2749;6.40822222;-72.44544444;Boyacá;El Cocuy;Area Operativa 06 - Boyacá-Casanare-Vichada;Magdalena Cauca;Sogamoso;;Onzaga;;Río Chicamocha;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Altiplano Cundiboyacense y oriente de Santander,RED ALERTAS - AREA OPERATIVA 06,
724;24035240;SIERRA NEVAD COCUY [24035240];Climática Ordinaria;Convencional;Activa;1974-05-15;3716;6.41008333;-72.37519444;Boyacá;Guicán;Area Operativa 06 - Boyacá-Casanare-Vichada;Magdalena Cauca;Sogamoso;;Onzaga;;Río Chicamocha;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Altiplano Cundiboyacense y oriente de Santander,
725;23120010;VERDE LA [23120010];Pluviométrica;Convencional;Activa;1976-07-15;140;6.4125;-73.89972222;Santander;Cimitarra;Area Operativa 08 - Santanderes-Arauca;Magdalena Cauca;Medio Magdalena;;Onzaga;;Río Carare (Minero);INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
726;26205060;NOQUE LA [26205060];Climática Ordinaria;Convencional;Suspendida;1981-04-15;450;6.4;-75.83333333;Antioquia;Anzá;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Cauca;;Onzaga;1987-05-15;Directos Río Cauca entre Río San Juan y Pto Valdia;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
727;23080950;VIENTO EL [23080950];Pluviográfica;Convencional;Suspendida;1992-08-15;890;6.4;-75.1;Antioquia;Alejandría;Area Operativa 01 - Antioquia-Chocó;Magdalena Cauca;Medio Magdalena;;Onzaga;2004-11-15;Río Nare;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
728;24031010;COCUY EL [24031010];Pluviométrica;Convencional;Suspendida;1934-01-15;2749;6.40822222;-72.44544444;Boyacá;El Cocuy;Area Operativa 06 - Boyacá-Casanare-Vichada;Magdalena Cauca;Sogamoso;;Onzaga;1942-05-15;Río Chicamocha;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;
